country_name,country_code,adolescent_fertility,GDP,electricity_access,age_dependency,birds_threatened,crude_births ,compulsory_education,start_up_cost,crude_deaths,credit,business_ease,fertility,fish_threatened,telephone,foreign_inflow,foreign_outflow,GDP_growth,measles_immunization,labor,land,life_expectancy_female,life_expectancy_male,life_expectancy_total,mammals_threatened,mobile_cell,infant_deaths,pop_ann_growth,female_pop_perc,male_pop_perc,pop_total,private_cred,profit_tax,parliament_women,sex_ratio,legal_rights
Cambodia,KHM,50.7204,19542411046,91.55067444,55.69071487,31,22.464,NA,47.4,5.997,6,53.7971,2.503,48,88157,3212633447,123963610.3,7.469169207,84,9191221,176520,71.629,67.312,69.57,39,19417123,8642,1.490355371,51.19798127,48.80201873,16249798,50.4,19.4,20,1.05,10
Burkina Faso,BFA,102.0658,15812355335,14.4,89.95179254,12,37.93,10,43.3,8.124,0,51.26807,5.189,4,76760,268414907.9,67713349.2,6.81961748,88,7238229,273600,61.863,60.361,61.174,9,19339109,40798,2.867078367,50.09548152,49.90451848,19751535,1.1,16.2,11.02362205,1.046,6
Ghana,GHA,65.7842,53828671662,82.39457703,68.53447275,23,29.407,11,15.5,7.309,6,60.43442,3.87,58,278379,2989035000,80850376.75,6.263480732,92,12611514,227540,64.852,62.724,63.78,21,40934875,30324,2.192828837,49.3258297,50.6741703,29767108,22.4,17.7,12.72727273,1.053,6
France,FRA,4.7362,2.93E+12,100,61.26714345,16,11.3,10,0.7,9.2,6,76.77957,1.88,53,38132000,71599682377,1.40E+11,1.792863954,90,30391825,547556.9922,85.9,79.7,82.72439024,9,70422000,2701,0.151733989,51.58424048,48.41575952,66965912,0,0.3,39.58333333,1.049,4
Estonia,EST,7.0988,26372885187,100,56.20961758,9,10.9,9,1.1,11.9,7,80.79339,1.67,5,345690,1212525210,-213611090.2,4.761158469,87,705816,43470,82.7,74,78.24390244,1,1924034,27,0.348039138,52.85842682,47.14157318,1321977,26.9,7.8,26.73267327,1.067,7
El Salvador,SLV,68.6136,22518214612,100,54.84470297,7,18.253,15,45.1,7.04,7,64.92118,2.039,17,923029,412743968.4,-413302988.3,2.430960499,81,2757089,20720,77.635,68.229,73.096,6,9433495,1385,0.509367036,53.11400244,46.88599756,6420744,33.6,16.9,30.95238095,1.05,9
Dominican Republic,DOM,93.0342,81804960995,100,53.98817641,17,19.506,15,14.1,6.15,8,59.32073,2.346,29,1277247,2744500000,209200000,6.982527585,95,4917459,48310,77.196,70.805,73.892,7,8937647,4988,1.078841148,50.00779607,49.99220393,10627165,100,29.1,26.84210526,1.05,1
Germany,DEU,7.8568,3.94E+12,100,54.04283612,11,9.5,13,6.5,11.5,8,79.34794,1.57,24,42500000,1.68E+11,1.77E+11,1.527446298,97,43560137,349360,83.3,78.6,80.89268293,5,107500000,2512,0.300526702,50.66036737,49.33963263,82905782,100,23.2,30.74753173,1.053,6
Greece,GRC,6.9376,2.53E+11,100,55.58515986,17,8.1,10,1.6,11.2,7,67.40997,1.35,80,5078083,4025447789,519563248.7,1.934370883,97,4804346,128900,84.4,79.3,81.78780488,10,12170757,291,-0.202880238,50.91620191,49.08379809,10732882,72.5,23,18.66666667,1.065,2
Georgia,GEO,45.1848,17642889363,100,53.047312,14,13.472,9,2.2,12.849,8,83.4992,2.06,11,604348,1218652826,293607479.8,4.869934776,98,2040890,69490,77.989,69.174,73.6,9,5459239,474,-0.039036546,52.2912375,47.7087625,3726549,100,7.8,16,1.064,9
Fiji,FJI,49.1406,4236472838,99.5933609,53.75698098,14,21.277,NA,15.9,8.208,0,61.38188,2.774,20,76522,468861002.9,-3630949.27,3.526209417,96,359311,18270,69.178,65.641,67.341,7,NA,407,0.684181932,49.30050142,50.69949858,883483,0,19.6,19.60784314,1.06,5
Haiti,HTI,50.9536,8123218871,45.27788925,61.79042719,17,24.349,6,200.3,8.534,0,37.85895,2.935,30,5922,1.05E+08,NA,1.483879788,69,4975289,27560,65.832,61.5,63.66,4,6399044,13297,1.273996399,50.65220989,49.34779011,11123176,0,22.8,2.542372881,1.05,2
Hungary,HUN,24.2756,1.63E+11,100,50.53376728,13,9.6,13,4.9,13.4,6,73.23963,1.55,9,3079730,-64832072323,-68477682834,5.094002564,99,4731877,90530,79.6,72.7,76.06585366,3,10041939,303,-0.126786952,52.43242803,47.56757197,9775564,91.2,9.1,12.56281407,1.059,9
Indonesia,IDN,46.9052,1.15E+12,98.51,47.94729712,160,18.072,9,6.1,6.465,8,68.184,2.311,166,8303511,18909826044,6399215529,5.169705609,89,132737405,1811570,73.748,69.375,71.509,191,319434605,101219,1.133769861,49.64388219,50.35611781,267663435,38.1,18.1,19.82142857,1.05,6
Ireland,IRL,7.0566,3.73E+11,100,54.49315126,9,12.5,10,0.1,6.4,7,79.58999,1.75,28,1829166,67361732390,94803361631,8.169870933,92,2385556,68890,84.1,80.5,82.25609756,5,4971493,183,1.238875453,50.42550948,49.57449052,4867316,100,12.4,22.15189873,1.058,7
Italy,ITA,5.11,2.14E+12,100,56.44750534,17,7.3,12,14.1,10.5,7,73.04291,1.29,52,20396603,39613297744,39839044477,0.798119353,93,26034264,294140,85.6,81.2,83.34634146,8,83342486,1274,-0.19006364,51.37666963,48.62333037,60421760,100,16.8,35.71428571,1.063,2
Iceland,ISL,5.9066,18197812725,100,52.96921282,7,12,10,1.7,6.4,7,79.011,1.71,16,136713,-622718386.3,-151722470.8,3.814422976,93,212899,100250,84.5,81.3,82.86097561,6,411361,7,2.678142769,49.81170852,50.18829148,352721,100,8.8,38.0952381,1.053,4
Iraq,IRQ,71.7416,2.11E+11,99.9,71.55649885,17,29.075,6,38.8,4.776,0,44.65481,3.672,19,2705028,-4885100000,188400000,-0.563615472,83,10146991,434128.0078,72.486,68.429,70.454,13,36527353,24904,2.318464028,49.40868153,50.59131847,38433600,0,15,25.22796353,1.065,0
Kenya,KEN,74.044,61746972564,75,72.77528872,44,28.748,12,24.9,5.469,8,70.97866,3.492,74,65644,1625921131,164384690.6,6.318450702,89,23057935,569140,68.684,63.965,66.342,30,49501430,48163,2.305948675,50.31602039,49.68397961,51393010,29.9,30.1,21.7765043,1.03,10
"Korea, Rep.",KOR,1.3204,1.45E+12,100,37.7256402,33,6.4,9,14.6,5.8,8,83.96046,0.977,28,25906849,12182600000,38220400000,2.664930346,98,28272711,97489.00391,85.7,79.7,82.62682927,12,66355778,1067,0.47533441,49.91688179,50.08311821,51606633,100,18.2,17,1.055,5
Kuwait,KWT,7.8858,1.37E+11,100,31.73383938,11,13.939,9,2,2.696,6,62.56073,2.082,18,515542,-21377568.82,2971770063,1.246273814,98,2383249,17820,76.467,74.672,75.398,7,7099848,401,1.982462733,39.54817062,60.45182938,4137312,30.7,0,3.076923077,1.045,1
Jamaica,JAM,51.3186,14249490165,98.93328094,48.25083158,11,16.103,6,4.4,7.573,8,68.2738,1.979,30,363820,774620603.1,12670743.49,1.940878147,89,1473383,10830,75.993,72.787,74.368,7,2964974,582,0.47823514,50.33982963,49.66017037,2934855,27.7,13.6,17.46031746,1.05,9
"Iran, Islamic Rep.",IRN,40.6932,NA,100,44.21925804,28,18.783,9,1.2,4.843,8,58.63915,2.137,47,30481734,2.37E+09,74601111.1,NA,99,27770616,1628760,77.668,75.409,76.479,18,88722442,19033,1.386479705,49.43912976,50.56087024,81800269,58.3,18.4,5.882352941,1.052,2
Madagascar,MDG,107.7374,12871116512,25.90781212,77.47762031,37,32.657,5,33,6.055,6,47.04235,4.077,111,69046,612036371.4,117896273.8,4.564782759,62,13409202,581800,68.301,65.077,66.681,121,10654710,31696,2.66961324,50.12396661,49.87603339,26262368,0,16.6,19.20529801,1.03,2
Maldives,MDV,7.4138,4142753893,100,31.3219386,0,14.199,7,4,2.814,5,53.2984,1.87,24,18754,575658028.2,0,6.888817196,99,283491,300,80.499,77.229,78.627,2,857934,50,3.813136225,37.26498146,62.73501854,515696,0,13.1,5.882352941,1.071,2
Mexico,MEX,59.4542,1.31E+12,100,51.0129948,71,17.602,14,16.2,6.01,8,72.3064,2.129,181,21645824,37681755259,12276255600,2.135958121,97,56253063,1943950,77.844,72.118,74.992,96,120173510,28044,1.126421149,51.08928083,48.91071917,126190788,100,27.9,48.2,1.05,10
Luxembourg,LUX,4.6038,67301206244,100,42.98357432,3,10.3,12,1.7,7.1,0,69.58703,1.38,1,273530,-16756616318,11622990895,3.110836266,99,302721,2430,84.6,80.1,82.29512195,0,798600,15,1.928837514,49.53925897,50.46074103,607950,0,4.2,20,1.046,3
Mongolia,MNG,31.4384,13349296396,98.1,52.65572144,24,24.131,12,1.3,6.316,7,67.67673,2.895,2,369853,1951528196,27926874.18,7.246629636,99,1319351,1553560,73.961,65.631,69.689,11,4222041,1085,1.79600998,50.66954471,49.33045529,3170208,0,10.3,17.10526316,1.03,9
New Caledonia,NCL,14.4552,NA,100,46.87542011,17,14.5,0,NA,5.5,NA,NA,1.97,37,NA,348749223.4,96074275.27,NA,NA,138742,18280,79.3,75.1,77.14878049,9,NA,NA,1.314666088,49.66105448,50.33894552,284060,NA,NA,NA,1.05,NA
Niger,NER,183.5134,12299579202,17.6,110.8785112,13,46.079,NA,8.1,8.268,0,52.3119,6.913,4,NA,466042273,38617403.49,7.004561951,77,8111179,1266700,63.212,60.9,62.024,13,NA,48606,3.816869199,49.7710026,50.2289974,22442948,0.5,21.6,16.95906433,1.05,6
Pakistan,PAK,38.2106,2.54E+11,71.0915467,65.51520208,33,28.25,12,6.8,6.942,7,55.45628,3.51,46,2798606,1.74E+09,-2.10E+07,5.836417498,73,72040845,770880,68.109,66.194,67.114,25,153986607,338766,2.05587987,48.53807472,51.46192528,212215030,7.2,18.2,20.23460411,1.087,2
Philippines,PHL,54.7592,3.40E+11,94.85723114,56.45928583,93,20.546,13,24,5.873,7,60.87374,2.576,91,4132490,9948598824,4115698240,6.341485571,67,43864623,298170,75.387,67.123,71.095,38,134592608,48672,1.39613428,49.74165739,50.25834261,106651922,12.4,20.3,29.45205479,1.06,1
Puerto Rico,PRI,28.3068,87377939487,100,55.06505892,11,6.7,13,1.3,9.2,7,70.01875,1.035,32,703266,NA,NA,-4.65959596,NA,1061756,8870,83.382,76.346,79.77819512,2,3330286,NA,-4.048391034,52.45009373,47.54990627,3193354,100,30.8,NA,1.053,12
Peru,PER,55.9518,2.06E+11,95.2,51.23787463,119,17.949,14,7.5,5.503,8,68.27159,2.254,52,2728617,6487906281,19161065.66,3.976935718,85,18346713,1280000,79.28,73.834,76.516,53,42154771,6097,1.718246517,50.33775549,49.66224451,31989256,100,22.7,27.69230769,1.05,7
Portugal,PRT,8.0012,2.47E+11,100,54.82696162,15,8.5,12,2,11,7,76.44344,1.42,67,5073815,7815679195,1449393896,2.637245523,99,5267545,91605.5957,84.5,78.3,81.32439024,13,11859548,244,-0.160104021,52.71196171,47.28803829,10283822,7.9,12.5,34.7826087,1.06,2
Netherlands,NLD,3.7028,9.48E+11,100,54.56989978,10,9.7,13,4.2,8.9,7,76.09693,1.59,15,5900000,-3.61E+11,-2.98E+11,2.597453618,93,9227941,33690,83.4,80.3,81.81219512,3,21108000,593,0.583933409,50.22094356,49.77905644,17231624,95.8,20.5,36,1.052,2
Morocco,MAR,30.681,1.23E+11,100,52.02023609,18,18.937,9,3.7,5.06,7,71.67294,2.415,54,2199140,3544387229,780869404.8,2.99021417,99,11918297,446300,77.668,75.19,76.453,18,44737885,13035,1.250794964,50.40384729,49.59615271,36029138,29,25.1,20.50632911,1.06,2
New Zealand,NZL,18.6046,1.88E+11,100,54.57350366,69,11.98,10,0.2,6.86,8,87.00452,1.71,38,1760000,2128856171,639728231.1,3.762256427,92,2721966,263310,83.6,80.2,81.85853659,9,6400000,244,0.977703457,50.8377694,49.1622306,4841000,100,29.9,38.33333333,1.055,12
Malaysia,MYS,13.4668,3.82E+11,100,44.23124385,63,16.752,6,11.6,5.09,8,81.33541,2.001,87,6433300,8570094243,5716347625,4.74160645,96,15381536,328550,78.167,74.075,75.997,71,42413400,3798,1.352511651,48.57852058,51.42147942,31528585,86.6,21.8,13.90134529,1.06,7
Myanmar,MMR,28.2066,84491238202,66.26457214,47.39629602,56,17.552,5,24.8,8.199,0,43.4838,2.154,53,520863,1291196201,0,6.750460146,93,24470007,653080,69.874,63.761,66.867,49,61143964,34666,0.608482652,51.80789687,48.19210313,53708395,0,26.8,10.16166282,1.03,2
Nepal,NPL,64.399,22969698990,93.92,56.59729608,38,19.887,10,24.4,6.361,0,59.65408,1.917,7,799368,68186670.75,0,6.700995459,91,16359487,143350,71.9,68.989,70.478,29,39178451,14880,1.653980239,54.53534333,45.46465667,28087871,2.7,16,32.72727273,1.065,10
Nigeria,NGA,105.447,4.69E+11,56.5,87.31508677,21,37.905,9,27.6,11.86,8,53.40471,5.387,74,140491,1997485165,1380859538,1.922757342,54,58403811,910770,55.244,53.45,54.332,31,172730603,552152,2.586545852,49.33611355,50.66388645,195874740,11,21,5.555555556,1.059,9
Norway,NOR,5.1048,4.89E+11,100,52.90112361,11,10.4,10,0.9,7.7,6,82.91579,1.56,23,560945,-6634007435,9854713255,1.289548201,96,2799958,365123.0078,84.5,81.1,82.75853659,8,5720892,120,0.660090844,49.52463113,50.47536887,5311916,100,20.8,41.42011834,1.058,5
Paraguay,PRY,70.1824,37420751807,100,55.93499755,27,20.571,13,58.4,5.498,7,58.45116,2.429,0,302754,386916058.1,-94130193.43,3.351958024,93,3534912,397300,76.25,72.159,74.131,10,7439692,2452,1.287844517,49.15161135,50.84838865,6956071,24.5,9.6,15,1.05,1
Romania,ROU,35.535,2.26E+11,100,51.22474481,17,9.6,10,0.4,13.5,7,72.51292,1.76,22,3660000,7343560129,1503441003,4.436856007,90,9054882,230080,79.2,71.7,75.35853659,9,22634000,1177,-0.587536174,51.34374306,48.65625694,19472545,55.7,12.3,20.66869301,1.058,9
Singapore,SGP,3.5134,3.33E+11,100,31.1332126,22,8.8,6,0.4,5,7,85.84348,1.14,29,2001000,91035666405,29761091307,3.438111042,95,3493801,709.0000153,85.4,81,83.14634146,14,8568400,106,0.469704299,47.65812541,52.34187459,5638676,60.9,1.7,23,1.073,8
South Africa,ZAF,67.8488,4.30E+11,91.22987366,52.43320121,54,20.51,9,0.2,9.435,7,66.69548,2.405,121,3345440,5569462350,4026961508,0.78705557,70,22947458,1213090,67.398,60.463,63.857,30,92427958,32882,1.357697288,50.69415038,49.30584962,57779622,67.3,21.8,42.7480916,1.031,5
Sri Lanka,LKA,20.6904,85514018430,99.58340454,53.06955312,16,15.831,11,9.4,6.651,6,61.75867,2.199,57,2473875,1614044009,67856570.54,3.306417413,99,8893806,62710,80.121,73.415,76.812,30,30282984,2144,1.048392958,51.96681766,48.03318234,21670000,46.5,1.2,5.777777778,1.04,2
South Sudan,SSD,59.4332,NA,28.20185661,82.54372949,21,35.01,8,122.6,10.459,0,33.64187,4.696,0,0,60140000,NA,NA,49,4621451,NA,59.135,56.115,57.604,14,3672871,23846,0.59544157,49.95630436,50.04369564,10975920,0,9.2,28.45953003,1.04,2
Saudi Arabia,SAU,7.097,7.02E+11,100,39.58085503,18,17.798,9,6.6,3.472,8,63.84761,2.319,41,5387405,4247107441,19252328473,2.434110781,98,14019589,2149690,76.615,73.799,74.998,11,41310584,3582,1.7988753,42.44584798,57.55415202,33699947,63.2,2.2,19.86754967,1.03,1
Senegal,SEN,70.716,24528196373,66.95944977,85.67431189,19,34.523,11,32,5.716,0,54.37982,4.625,58,302243,847841574.8,52808330.23,6.379556584,83,4122004,192530,69.627,65.501,67.665,19,16559942,18181,2.78193167,51.27732977,48.72267023,15854360,2.7,16.2,41.81818182,1.036,6
Spain,ESP,7.4904,1.54E+12,100,51.61969519,19,7.9,10,4,9.1,7,77.69995,1.26,83,19484361,49074301841,30464616353,2.351008131,97,23065037,499563.9844,86.3,80.7,83.43170732,17,54161014,1052,0.437982994,50.89664131,49.10335869,46797754,15.7,10.6,39.14285714,1.064,5
Thailand,THA,44.6888,4.42E+11,100,40.82103472,62,10.344,9,3.1,7.666,7,79.51709,1.525,106,2929000,13205107281,21248524773,4.150762088,96,38907795,510890,80.704,73.228,76.931,59,125098000,5821,0.315448259,51.26870461,48.73129539,69428524,60.2,22.2,5.284552846,1.062,7
Turkey,TUR,25.5558,1.24E+12,100,49.54975598,20,16.027,12,10.6,5.412,8,75.25248,2.069,131,11633461,1.30E+10,3.65E+09,2.826776118,96,32826049,769630,80.336,74.447,77.437,19,80117999,12048,1.490444868,50.6778132,49.3221868,82319724,0,18.2,17.44966443,1.05,7
United Arab Emirates,ARE,5.8868,3.98E+11,100,18.60779642,13,10.331,6,22.8,1.47,8,81.58883,1.413,20,2341392,10385286000,15079292000,1.189855642,99,6752973,71020,79.164,77.133,77.814,8,20081015,653,1.50389676,30.63668795,69.36331205,9630959,53.6,0,22.5,1.045,6
Uruguay,URY,58.2386,50420003958,100,54.85270066,22,13.857,14,22.6,9.467,8,61.36826,1.973,45,1153533,1171934319,2279940975,1.620083616,97,1749881,175020,81.359,73.958,77.77,10,5170624,309,0.367502623,51.72154269,48.27845731,3449299,100,23.6,20.2020202,1.05,4
